product_name,product_image,payback_points,product_link,payback_condition,product_quantity,tag_label,price,product_information,store_address,store,category,offer_duration,date
SCHRÖDER Sülze im Ring,https://kaufland.media.schwarz/is/image/schwarz/00104590FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00104590.html,Keine Payback-Bedingung,100 g ,"
			-40%
					",1.19 ,"mit Schweinefleisch, herzhaft gewürzt undmit Kräutern abgerundet","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
13.07. - 19.07.
",2023-07-15
LUITEN Rindsmettwurst,https://kaufland.media.schwarz/is/image/schwarz/01444062FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01444062.html,Keine Payback-Bedingung,125-g-Stück (1 kg = 17.76),"
			KNÜLLER
					",2.22 ,"100 % frisches Rindfleisch, mager","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
13.07. - 19.07.
",2023-07-15
HOUDEK Kabanos Klassik,https://kaufland.media.schwarz/is/image/schwarz/00847410FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00847410.html,Keine Payback-Bedingung,100 g ,"
			-29%
					",1.69 ,feinwürzige Salami-Spezialität,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
13.07. - 19.07.
",2023-07-15
NEGRONI Prosciutto Cotto Buonastella,https://kaufland.media.schwarz/is/image/schwarz/01251193FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01251193.html,Keine Payback-Bedingung,100 g ,"
			-20%
					",1.59 ,"ital. Kochschinken, zart und harmonischim Geschmack","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
13.07. - 19.07.
",2023-07-15
ORIGINAL RADEBERGER Räucherling,https://kaufland.media.schwarz/is/image/schwarz/00106068FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00106068.html,Keine Payback-Bedingung,100 g ,"
			-33%
					",1.99 ,"zartes, geräuchertes Filet vom Schwein","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
13.07. - 19.07.
",2023-07-15
Prosciutto di Parma DOP,https://kaufland.media.schwarz/is/image/schwarz/01253064FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01253064.html,Keine Payback-Bedingung,100 g ,"
			-35%
					",2.89 ,"ital. Rohschinken, mind. 12 Monatein der Provinz Parma gereift, fein-aromatisch","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
13.07. - 19.07.
",2023-07-15
SCHULTE La Prima Edelsalami,https://kaufland.media.schwarz/is/image/schwarz/00120444FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00120444.html,Keine Payback-Bedingung,100 g ,"
			KNÜLLER
					",2.22 ,mit Rindfleisch,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
13.07. - 19.07.
",2023-07-15
K-PURLAND Schnelle Küche »Schnitzel Brie-Tomate«,https://kaufland.media.schwarz/is/image/schwarz/00013980?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00013980.html,Keine Payback-Bedingung,500-g-Packg. (1 kg = 9.98),Kein Etikett,4.99 *,"aus dem Schweinerücken, auf Würzsauce,mit Weichkäse und Tomaten,zum Garen im Backofen","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","

									13.07. - 19.07.
								
",2023-07-15
K-PURLAND Schnelle Küche Geschnetzeltes »Waldeslust«,https://kaufland.media.schwarz/is/image/schwarz/00013788?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014356.html,Keine Payback-Bedingung,500-g-Packg. (1 kg = 6.58),Kein Etikett,3.29 *,"vom Schwein, mariniert, mit Champignons","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","

									13.07. - 19.07.
								
",2023-07-15
K-PURLAND Schweinekotelett,https://kaufland.media.schwarz/is/image/schwarz/00012484f-1?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014377.html,Keine Payback-Bedingung,850-g-Packg. (1 kg = 5.52),"
			-21%
					",4.69 ,"geschnitten, zart und saftig","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
13.07. - 19.07.
",2023-07-15
K-PURLAND XXL-Original Thüringer Rostbratwurst,https://kaufland.media.schwarz/is/image/schwarz/00014522a?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014522.html,Keine Payback-Bedingung,6 St. = 900-g-Großpackg. (1 kg = 5.55),"
			-34%
					",4.99 ,"roh, herzhaft","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
13.07. - 19.07.
",2023-07-15
K-PURLAND Fleischspieße,https://kaufland.media.schwarz/is/image/schwarz/00014459_P_788828?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014459.html,Keine Payback-Bedingung,450-g-Packg. (1 kg = 9.98),"
			-10%
					",4.49 ,"vom Schwein, mariniert,mit Paprika und Zwiebeln","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
13.07. - 19.07.
",2023-07-15
K-PURLAND Schälrippchen,https://kaufland.media.schwarz/is/image/schwarz/00052159e?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00052159.html,Keine Payback-Bedingung,kg ,"
			-18%
					",5.69 ,"vom Schwein, natur","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
13.07. - 19.07.
",2023-07-15
WERZ Bratwurst-Mix,https://kaufland.media.schwarz/is/image/schwarz/00014213?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014213.html,Keine Payback-Bedingung,880-g-Packg. (1 kg = 6.81),Kein Etikett,5.99 *,"vom Schwein, 3 grobe Bratwürste,4 Puszta-Griller und 4 Fränkische Bratwürste","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","

									13.07. - 19.07.
								
",2023-07-15
K-PURLAND Schinkenbraten,https://kaufland.media.schwarz/is/image/schwarz/00052811?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00052811.html,Keine Payback-Bedingung,kg ,"
			-32%
					",5.69 ,"vom Schwein,zart und saftig","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
13.07. - 19.07.
",2023-07-15
K-PURLAND Fränkische Bratwurst,https://kaufland.media.schwarz/is/image/schwarz/00010700?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00010700.html,Keine Payback-Bedingung,5 St. = 300-g-Packg. (1 kg = 5.97),Kein Etikett,1.79 *,zart-würzig,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","

									13.07. - 19.07.
								
",2023-07-15
K-PURLAND Bauchscheiben Western Style,https://kaufland.media.schwarz/is/image/schwarz/00017277B-1?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014390.html,Keine Payback-Bedingung,700-g-Packg. (1 kg = 5.99),"
			KNÜLLER
					",4.19 ,"vom Schwein, mariniert, 6 Stück","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
13.07. - 19.07.
",2023-07-15
K-PURLAND XXL-Rinderrouladen,https://kaufland.media.schwarz/is/image/schwarz/00013583?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00013583.html,Keine Payback-Bedingung,kg (entspr. z. B. für eine 900-g-Packg. 9.89),"
			-21%
					",10.98 ,"vom Jungbullen, natur, zum Selbstfüllen,5-St.-Großpackg.","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
13.07. - 19.07.
",2023-07-15
K-WERTSCHÄTZE Hamburger,https://kaufland.media.schwarz/is/image/schwarz/00014006?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014006.html,Keine Payback-Bedingung,250-g-Packg. (1 kg = 10.76),"
			-10%
					",2.69 ,"vom Rind, zum Braten","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
13.07. - 19.07.
",2023-07-15
K-PURLAND Pfeffer-Rumpsteak,https://kaufland.media.schwarz/is/image/schwarz/00013131a?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00013131.html,Keine Payback-Bedingung,kg (entspr. z. B. für eine 300-g-Packg. 3.89),Kein Etikett,12.96 *,"vom Jungbullen, mind. 21 Tage gereift","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","

									13.07. - 19.07.
								
",2023-07-15
K-PURLAND Rinderhackfleisch,https://kaufland.media.schwarz/is/image/schwarz/00028431a?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00028431.html,Keine Payback-Bedingung,500-g-Packg. (1 kg = 6.98),"
			KNÜLLER
					",3.49 ,"zum Braten, ideal für Burger","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
13.07. - 19.07.
",2023-07-15
Crispy Chicken Wings,https://kaufland.media.schwarz/is/image/schwarz/01266652?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01266652.html,Keine Payback-Bedingung,je 900-g-Großpackg. (1 kg = 6.66),Kein Etikett,5.99 *,"mild oder hot, aus dem Hähnchenflügel,lecker knusprig","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","

									13.07. - 19.07.
								
",2023-07-15
WIESENHOF Multi-Tool Grill-Box,https://kaufland.media.schwarz/is/image/schwarz/01543583?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01543583.html,Keine Payback-Bedingung,kg (entspr. z. B. für eine 2-kg-Packg. 7.98),Kein Etikett,3.99 *,"Hähnchenflügel und Hähnchenoberkeulen,mariniert","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","

									13.07. - 19.07.
								
",2023-07-15
K-PURLAND Puten-Brustfilet,https://kaufland.media.schwarz/is/image/schwarz/01144947?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01144947.html,Keine Payback-Bedingung,1-kg-Packg. ,"
			-15%
					",7.99 ,"Teilstück, zum Braten","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
13.07. - 19.07.
",2023-07-15
K-PURLAND Merguez,https://kaufland.media.schwarz/is/image/schwarz/00014108?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014108.html,Keine Payback-Bedingung,6 St. = 360-g-Packg. (1 kg = 6.92),"
			-28%
					",2.49 ,"rohe Bratwurst vom Rind und Lamm,im Schafsaitling, gewürzt","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
13.07. - 19.07.
",2023-07-15
K-CLASSIC Käse-Knacker,https://kaufland.media.schwarz/is/image/schwarz/00013006?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00013006.html,Keine Payback-Bedingung,5 St. = 300-g-Packg. (1 kg = 8.30),"
			-16%
					",2.49 ,zum Braten oder Grillen,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
13.07. - 19.07.
",2023-07-15
,,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00886976.html,Keine Payback-Bedingung,Keine Mengenangaben,Kein Etikett,,Keine Produktinformation,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst",,2023-07-15
K-CLASSIC Mini-Rostbratwürstchen,https://kaufland.media.schwarz/is/image/schwarz/01531481_P_802001?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01531481.html,Keine Payback-Bedingung,14 St. = 300-g-Packg. (1 kg = 7.40),"
			-20%
					",2.22 ,"gebrüht, für Grill und Pfanne","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
13.07. - 19.07.
",2023-07-15
K-CLASSIC Kochhinterschinken,https://kaufland.media.schwarz/is/image/schwarz/00918122_P_837576?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00918122.html,Keine Payback-Bedingung,200-g-Packg. (1 kg = 6.95),"
			-17%
					",1.39 ,gepökelt,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
13.07. - 19.07.
",2023-07-15
,,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00110858.html,Keine Payback-Bedingung,Keine Mengenangaben,Kein Etikett,,Keine Produktinformation,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst",,2023-07-15
K-CLASSIC Zungenwurst,https://kaufland.media.schwarz/is/image/schwarz/00013203_P_687062?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00013203.html,Keine Payback-Bedingung,100-g-Packg. (1 kg = 11.10),"
			-20%
					",1.11 ,Spitzenqualität,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
13.07. - 19.07.
",2023-07-15
ABRAHAM Schwarzwälder Schinken oder Schinkenspeck,https://kaufland.media.schwarz/is/image/schwarz/01194647?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01194647.html,Keine Payback-Bedingung,je 80-g-Packg. (1 kg = 13.88),"
			-30%
					",1.11 ,herzhaft geräuchert,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
13.07. - 19.07.
",2023-07-15
STOCKMEYER Salami-Auslese,https://kaufland.media.schwarz/is/image/schwarz/00189506?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00189506.html,Keine Payback-Bedingung,je 150-g-Packg. (1 kg = 13.27),Kein Etikett,1.99 *,"Napoli Style, Sweet Onion oderTropical Pepper","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","

									13.07. - 19.07.
								
",2023-07-15
REINERT Bärchen-Wurstspezialitäten,https://kaufland.media.schwarz/is/image/schwarz/00126169?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00126169.html,Keine Payback-Bedingung,je 125-g-Becher oder 90 - 180-g-Packg. (1 kg = 7.73 - 15.45) / (1 kg = 6.62 - 13.23)**,"
			KNÜLLER
					",1.39 ,versch. Sorten,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","

									13.07. - 19.07.
								
",2023-07-15
K-CLASSIC Pfälzer Leberwurst,https://kaufland.media.schwarz/is/image/schwarz/00013127?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00013127.html,Keine Payback-Bedingung,200-g-Packg. (1 kg = 6.45),"
			-18%
					",1.29 ,Spitzenqualität,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
13.07. - 19.07.
",2023-07-15
JULISKA Ungar. Salami,https://kaufland.media.schwarz/is/image/schwarz/00844378?JGstbGVnYWN5LW9uc2l0ZS0yJA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00844378.html,Keine Payback-Bedingung,375-g-Stück (1 kg = 10.11),"
			-24%
					",3.79 ,mit charakteristischem Edelschimmel,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
13.07. - 19.07.
",2023-07-15
K-FAVOURITES Kaminwurzerl,https://kaufland.media.schwarz/is/image/schwarz/01159385?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01159385.html,Keine Payback-Bedingung,je 150-g-Packg. (1 kg = 12.60)**,"
			-24%
					","1.89
									 **
","nach Art einer Kaminwurzen,versch. Sorten","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","

									13.07. - 19.07.
								
",2023-07-15
,,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01451184.html,Keine Payback-Bedingung,Keine Mengenangaben,Kein Etikett,,Keine Produktinformation,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst",,2023-07-15
">Festes, dennoch zartes, mageres Fleisch mit feiner Salznote >In den Wintermonaten besonders schmackhaft >Ob gebraten, pochiert oder überbacken – vielseitig zubereitbarKabeljauloin",https://kaufland.media.schwarz/is/image/schwarz/00863702FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00863702.html,Keine Payback-Bedingung,100 g ,"
			KNÜLLER
					",2.69 ,"praktisch grätenfrei, ohne Haut","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,Fisch,"
13.07. - 19.07.
",2023-07-15
Schellfischfilet,https://kaufland.media.schwarz/is/image/schwarz/00863913FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00863913.html,Keine Payback-Bedingung,100 g ,"
			KNÜLLER
					",1.99 ,ohne Haut,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,Fisch,"
13.07. - 19.07.
",2023-07-15
Scholle,https://kaufland.media.schwarz/is/image/schwarz/04500965FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=04500965.html,Keine Payback-Bedingung,100 g ,"
			-25%
					",1.49 ,"festes, weißes Fleisch mit kräftigem Geschmack,küchenfertig","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,Fisch,"
13.07. - 19.07.
",2023-07-15
Stremellachs,https://kaufland.media.schwarz/is/image/schwarz/04512083FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=04512083.html,Keine Payback-Bedingung,je 100 g ,"
			-22%
					",3.49 ,"heiß geräuchert,versch. Sorten","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,Fisch,"
13.07. - 19.07.
",2023-07-15
Matjessalat,https://kaufland.media.schwarz/is/image/schwarz/04500732FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=04500732.html,Keine Payback-Bedingung,je 100 g ,"
			-23%
					",1.29 ,"nordische Art mit Apfel und Zwiebel,in feinem Dillrahm mit Gurkeoder in Zitronen-Kräutercreme","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,Fisch,"
13.07. - 19.07.
",2023-07-15
K-BIO Bioland dtsch. Basilikum XXL,https://kaufland.media.schwarz/is/image/schwarz/01533834FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01533834.html,Keine Payback-Bedingung,Topf ,Kein Etikett,1.99 ,"aus kontrolliert biologischer Landwirtschaft, Topf Ø 17 cm","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Obst, Gemüse, Pflanzen","
13.07. - 19.07.
",2023-07-15
K-BIO Bioland dtsch. Landgurke,https://kaufland.media.schwarz/is/image/schwarz/00399683?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=20606387.html,Keine Payback-Bedingung,Stück ,Kein Etikett,0.99 ,"aus kontrolliert biologischer Landwirtschaft,Kl. I","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Obst, Gemüse, Pflanzen","
13.07. - 19.07.
",2023-07-15
K-BIO Bioland ital. Tafeläpfel,https://kaufland.media.schwarz/is/image/schwarz/01543433FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01543433.html,Keine Payback-Bedingung,650-g-Packg. (1 kg = 3.07),Kein Etikett,1.99 ,"aus kontrolliert biologischer Landwirtschaft,»Golden Delicious«, Geschmack süß,Kl. I","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Obst, Gemüse, Pflanzen","
13.07. - 19.07.
",2023-07-15
Costa-rican. Ananas,https://kaufland.media.schwarz/is/image/schwarz/00371617?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00371617.html,Keine Payback-Bedingung,Stück ,Kein Etikett,2.99 *,"Extra Sweet,Kl. I","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Obst, Gemüse, Pflanzen","

									13.07. - 19.07.
								
",2023-07-15
Demeter niederl./span. Miniromatomaten,https://kaufland.media.schwarz/is/image/schwarz/01288509FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01288509.html,Keine Payback-Bedingung,200-g-Packg. (1 kg = 8.95),Kein Etikett,1.79 ,Kl. II,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Obst, Gemüse, Pflanzen","
13.07. - 19.07.
",2023-07-15
"Dtsch. Cherryrispentomaten, gelb oder rot",https://kaufland.media.schwarz/is/image/schwarz/01481760FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01481760.html,Keine Payback-Bedingung,je 200-g-Schale (1 kg = 8.95),Kein Etikett,1.79 *,"Sorte laut Auszeichnung,Kl. I","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Obst, Gemüse, Pflanzen","

									13.07. - 19.07.
								
",2023-07-15
"Dtsch. Fleischtomaten bunt oder pink, lose",https://kaufland.media.schwarz/is/image/schwarz/01229337?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01229337.html,Keine Payback-Bedingung,je kg ,Kein Etikett,2.99 *,Kl. I,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Obst, Gemüse, Pflanzen","

									13.07. - 19.07.
								
",2023-07-15
"Dtsch. Kopfsalat, Lollo Mix oder Eichblattsalat, lose",https://kaufland.media.schwarz/is/image/schwarz/00398677FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00398677.html,Keine Payback-Bedingung,je Stück ,Kein Etikett,0.69 *,Kl. I,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Obst, Gemüse, Pflanzen","

									13.07. - 19.07.
								
",2023-07-15
"Dtsch. Miniromarispentomaten, lose",https://kaufland.media.schwarz/is/image/schwarz/00372437FRa-1?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01395015.html,Keine Payback-Bedingung,100 g ,Kein Etikett,4.90 ,Kl. I,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Obst, Gemüse, Pflanzen","
13.07. - 19.07.
",2023-07-15
Dtsch. San Marzano Tomaten,https://kaufland.media.schwarz/is/image/schwarz/01229355FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,Keine Payback-Punkte,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01229355.html,Keine Payback-Bedingung,400-g-Packg. (1 kg = 4.48),Kein Etikett,1.79 *,,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Obst, Gemüse, Pflanzen","

									13.07. - 19.07.
								
",2023-07-15
