,product_information,product_id
246,"Bestellung ab 18 Jahren.Für dieses Produkt gilt das Jugendschutzgesetz.ProduktbeschreibungArtikelnummer 1081403- Trocken, aromatische Note, angenehme Frucht, rassig.
- Empfehlung: zu Fisch-Carpaccio, Rot-Barben, Fischsuppen und Nudelgerichten.
- Trinktemperatur: 10-12°C.

Kontaktname: IMBOTTIGLIATO DA LAMBERTI S.P.A.
Kontaktadresse: 023006 - ITALIA

Alkoholgehalt: 12,5% Vol. Zutaten & AllergeneZutaten:  ENTHÄLT SULFITE. Zusatzstoffe: E 220Allergenhinweise: Schwefeldioxid und Sulfite in einer Konzentration von mehr als 10 mg/kg oder 10 mg/l, als SO2 angegebenHinweiseVerwendungshinweise: Trocken und kühl lagern. Vor Licht schützen.ArtikeldetailsMarke: LambertiEigenschaften: *Neu*Ursprungsland: ItalienSchmeckt zu: Fisch & Meeresfrüchten, Geflügel, Pasta, GemüseMaximale Bestellmenge: 15 StückFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",1081403
776,"ProduktbeschreibungArtikelnummer 1094032Ciabattini nach alter italienischer Tradition zubereitet; hren Namen haben die Ciabattini ihrem großen Bruder, dem Ciabatta, zu verdanken. Dieses flache, längliche Landbrot, das in der Übersetzung Pantoffel heißt, kommt ursprünglich aus der Provinz Como in der Lombardei im Norden Italiens. Auch die kleineren Ausgaben, die Pantoffelchen, werden nach traditioneller Art gebacken. Hierbei wird besonderen Wert auf die Ruhezeit, die der Hefeteig zum Reifen braucht, gelegt. Bis zu sieben Stunden Teigruhe wird den Ciabattini gegönnt, bevor sie in einem schonenden Verfahren für REWE Feine Welt kross gebacken werden. Markenzeichen der beliebten Ciabattini sind eine kräftige Kruste und ein schonend aufbereiteter, luftiger Teig. KROSSE KRÜSTCHEN zaubern mediterranes Flair und italienische Lebensfreude, für die besonderen Momente des Tages.... mehr anzeigenZutaten & AllergeneZutaten: WEIZENMEHL, Wasser, Hefe, Speisesalz, WEIZENSAUERTEIG getrocknet, Stabilisator Guarkernmehl, Zucker, Gerstenmalzextrakt, Emulgator Mono- und Diacetylweinsäureester von Mono- und Diglyceriden von Speisefettsäuren, Ethanol.  Kann Spuren von Sesam, Lupinen-, Milch- und Sojaerzeugnissen enthalten. Zusatzstoffe: E 412, E 472eAllergenhinweise: Glutenhaltiges Getreide (Weizen, Gerste, Roggen, Hafer, Dinkel, Kamut oder Hybridstämme)NährwerteDurchschnittliche Nährwertepro 100 gEnergie1.092 kJEnergie258 kcalFett2,2 gFett, davon gesättigte Fettsäuren0,4 gKohlenhydrate50,1 gKohlenhydrate, davon Zucker1,8 gEiweiß7,9 gSalz1,2 gHinweiseVerwendungshinweise: Trocken lagern. Vor Wärme schützen.ArtikeldetailsMarke: REWE Feine WeltUrsprungsland: DeutschlandKontaktKontaktname: Glockenbrot Bäckerei GmbH & Co. oHGKontaktadresse: Robert-Bosch-Str. 3, 60386 Frankfurt am Main, DeutschlandFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",1094032
194,"ProduktbeschreibungArtikelnummer 1127713- Zu Babys Ernährung gehört Obst als unentbehrlicher Spender von Vitaminen, Mineralstoffen und Spurenelementen.
- Für HiPP werden nur besonders streng kontrollierte Früchte ausgewählt.
- Die HiPP Früchte sind ideal als Nachspeise oder Zutat zum Brei und schmecken dabei besonders gut. 
- Verwendet werden spezielle Obstsorten, die genügend Zeit zum Reifen hatten und so ganz natürlich ihren vollen Fruchtgeschmack entwickeln konnten – ohne Zusatz von Aromen und Zucker (Zutaten enthalten von Natur aus Zucker) .
- Ohne Zusatz von Milchprodukten.

Für HiPP werden nur besonders streng kontrollierte Früchte ausgewählt. Zu Babys Ernährung gehört Obst als unentbehrlicher Spender von Vitaminen, Mineralstoffen und Spurenelementen. Die HiPP Früchte sind reich an Vitamin C und helfen so die Abwehrkräfte Ihres Kindes zu stärken.... mehr anzeigenFür HiPP werden nur besonders streng kontrollierte Früchte ausgewählt. Die HiPP Früchte hatten genügend Zeit zu reifen und konnten so ihren vollen Fruchtgeschmack entwickeln. Ohne Zusatz von Zucker - Zutaten enthalten von Natur aus Zucker. In bewährter HiPP Bio Qualität.Zutaten & AllergeneZutaten: Früchte* 100% (Williams-Christ-Birnen* 70%, Äpfel* 30%). *Aus biologischer ErzeugungNährwerteDurchschnittliche NährwerteUnzubereitet pro 100 gEnergie224 kJEnergie53 kcalFett0,2 gFett, davon gesättigte Fettsäuren0 gKohlenhydrate11,1 gKohlenhydrate, davon Zucker9,6 gEiweiß0,4 gSalz< 0,05 gNatrium< 0,02 gHinweiseAufbewahrungs- und Verwendungshinweis: Rest verschlossen im Kühlschrank lagern innerhalb von 3 Tagen aufbrauchen.Information: Hinweis: Von Natur aus glutenfrei.  ab 5. MonatArtikeldetailsMarkeHippEigenschaftenBioUrsprungslandDeutschlandGeschmacksrichtungWilliams-Christ-BirnenÖko KontrollstelleDE-ÖKO-001Altersempfehlung4 MonateSorteWilliams-Christ-BirnenKontaktKontaktname: HiPP GmbH & Co. Vertrieb KGKontaktadresse: D-85273 PFAFFENHOFENMaximale Bestellmenge: 15 StückFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",1127713
130,"ProduktbeschreibungArtikelnummer 1148048Zutaten & AllergeneZutaten: Schweinefleisch, jodiertes Speisesalz (Speisesalz, Kaliumjodat), Dextrose, Gewürze (enthalten SENF), Antioxidationsmittel Ascorbinsäure, Konservierungsstoff Natriumnitrit, Schafsaitling, Rauch. 100g Enderzeugnis werden hergestellt aus 182g Schweinefleisch. Zusatzstoffe: E 250, E 300NährwerteDurchschnittliche Nährwertepro 100 gArtikeldetailsMarke: Wilhelm BrandenburgKontaktKontaktname: Stumpf Heinrich GmbH & Co. KGKontaktadresse: Fischbach 16 - 20;35418;Buseck;DEUMaximale Bestellmenge: 15 StückFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",1148048
153,"ProduktbeschreibungArtikelnummer 1166870Zutaten & AllergeneZutaten: 70% BUTTERMILCH, SAUERMOLKE, Zucker, 3,5% Himbeersaft aus Himbeersaftkonzentrat, Verdickungsmittel E466, Säuerungsmittel Citronensäure, färbendes Schwarze Karottenkonzentrat, Aroma.Allergenhinweise: Enthält: Milch und Milcherzeugnisse (einschließlich Lactose).NährwerteDurchschnittliche NährwerteUnzubereitet pro 100 gEnergie232 kJEnergie55 kcalFett0,4 gFett, davon gesättigte Fettsäuren0,3 gKohlenhydrate10 gKohlenhydrate, davon Zucker9,9 gEiweiß2,1 gSalz0,22 gHinweiseAufbewahrungs- und Verwendungshinweis: Bei +8°C mindestens haltbar bis: siehe obenArtikeldetailsMarke: MilramUrsprungsland: DeutschlandGeschmacksrichtung: HimbeereKontaktKontaktname: DMK GmbHKontaktadresse: 27400 ZevenMaximale Bestellmenge: 15 StückFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",1166870
106,"ProduktbeschreibungArtikelnummer 1174786Unsere Hummus ist köstlich auf Pita-Brot oder als Dip mit Gurke, schmeckt aber auch gut in Kombination mit orientalischen Gerichten. Zutaten & AllergeneZutaten: Enthält Kichererbsen (52%), pflanzliches, Öl (Raps), gemahlener Sesam (SESAM), Wasser, Knoblauch, Salz Säuerungsmittel (Citronensäure), Konservierungsstoff (E202), Kräuter, Gewürze. DIESER ERZEUGNIS KANN SPUREN VON WALNÜSSEN, MANDELN, CASHEWNÜSSEN UND EDNÜSSEN ENTHALTEN.Allergenhinweise: Dieses Erzeugnis kann Spuren von Nüsse und Erdnüsse enthalten.Enthält: Sesamsamen und Sesamsamenerzeugnisse. Kann enthalten: Nüsse und Nusserzeugnisse. Erdnüsse und Erdnusserzeugnisse.NährwerteDurchschnittliche NährwerteUnzubereitet pro 100 gEnergie1.358 kJEnergie331 kcalFett28,7 gFett, davon gesättigte Fettsäuren2,7 gKohlenhydrate8,7 gKohlenhydrate, davon Zucker1,1 gEiweiß6,8 gSalz1,5 gHinweiseAufbewahrungs- und Verwendungshinweis: Gekühlt aufbewahren (max. 7°C).ArtikeldetailsMarke: King CuisineNettofüllmenge: 175 GEigenschaften: Laktosefrei, Vegetarisch, VeganKontaktKontaktname: René van DijkKontaktadresse: King Cuisine B.V. Jules Verneweg 71 5015 BG TilburgMaximale Bestellmenge: 15 StückFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",1174786
99,"ProduktbeschreibungArtikelnummer 1174787Zutaten & AllergeneZutaten: Hummus mit Getrockenen Tomaten: Kichererbsen (41%), pflanzliche Öle (Raps), Wasser, Getrocknete Tomaten (12%), gemahlener Sesam (SESAM), Salz, Knoblauch, Zucker, Säuerungsmittel (Citronensäure), Konservierungsstoff (E202), Kräuter und Gewürze.  Hummus mit Oliven: Kichererbsen (47%), pflanzliche Öle (Raps), gemahlener Sesam (SESAM), Wasser, geschwärtze Oliven (Oliven, stabilisator E579) (5%), grüne Oliven (4%), Knoblauch, Salz, Säuerungsmittel (Citronensäure), Konservierungstoff (E202), Kräuter, Gewürze.  Hummus mit Curry: Kickererbsen (50%), pflanzliche Öle (Raps, Sonnenblume), gemahlener Sesam (SESAM), Wasser, Knoblauch, Zucker, Salz, Säuerungsmittel (Citronsäure), Kräuter, Gewürze, färbendes Lebensmittel (Karottenextrakt), Konservierungsstoff (E202), Chili, Verdickungsmittel (Guarkernmehl). Enthält 0,3% Curry.  Dieses Erzeugnis kann olivenkerne und spuren Walnüssen, Mandeln, Cashewnüssen und Erdnüssen enthalten.Allergenhinweise: Dieses Erzeugnis kann Spuren von Nüsse und Erdnüsse enthalten.Enthält: Sesamsamen und Sesamsamenerzeugnisse. Kann enthalten: Nüsse und Nusserzeugnisse. Erdnüsse und Erdnusserzeugnisse.NährwerteDurchschnittliche NährwerteZubereitet pro 100 gEnergie1.276 kJEnergie310 kcalFett26,4 gFett, davon gesättigte Fettsäuren2,5 gKohlenhydrate9,4 gKohlenhydrate, davon Zucker2,5 gEiweiß6,3 gSalz1,7 gHinweiseAufbewahrungs- und Verwendungshinweis: Gekühlt aufbewahren (max. 7°C).ArtikeldetailsMarke: King CuisineNettofüllmenge: 210 GEigenschaften: Laktosefrei, Vegetarisch, VeganKontaktKontaktname: René van DijkKontaktadresse: King Cuisine B.V. Jules Verneweg 71 5015 BG TilburgMaximale Bestellmenge: 15 StückFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",1174787
718,"ProduktbeschreibungArtikelnummer 1207245Frisch für dich aus unserer Servicetheke. 
 
Salmo salar aus Aquakultur Norwegen 
 
Fanggerätekategorie: Pumpen/FISCHPUMPEN Zutaten & AllergeneZutaten: LACHSFILETAllergenhinweise: Enthält: Fisch und Fischerzeugnisse.NährwerteDurchschnittliche NährwerteUnzubereitet pro 100 gEnergie834 kJEnergie200 kcalFett13,4 gFett, davon gesättigte Fettsäuren2,2 gKohlenhydrate0 gKohlenhydrate, davon Zucker0 gEiweiß19,9 gSalz0 gHinweiseAufbewahrungs- und Verwendungshinweis: gekühlt bei 0 °C bis +2 °CArtikeldetailsUrsprungsland: DeutschlandKontaktKontaktname: Deutsche See GmbHKontaktadresse: Maifischstrasse 3-9, 27572 BremerhavenFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",1207245
920,"ProduktbeschreibungArtikelnummer 1223624Genießen Sie die Schönheit des Lebens mit der belebenden und aktivierenden Kneipp® Aroma-Pflegedusche Lebensfreude. Der frische, sonnige Duft der natürlichen ätherischen Öle der Litsea Cubeba und der Zitrone hebt Ihre Stimmungslage nachweislich*. Natürliches pflegendes Öl verwöhnt die Haut und macht sie zart und geschmeidig. Die pflanzliche Pflegeformel verbessert das Hautgefühl während und nach dem Duschen. Eine Studie bestätigt zudem, dass die Haut vor dem Austrocknen geschützt wird**. | * Wissenschaftliche Studie des Instituts für angewandte Psychophysiologie GmbH ** Experimentelle Studie: Messung der Hautfeuchtigkeit nach Anwendung.... mehr anzeigenKneipp® Aroma-Pflegedusche Lebensfreude - so einzigartig, dass die Wirkformel jetzt patentiert ist - **Patentnummer EP 2467125 B1!

Genieße die Schönheit des Lebens mit der belebenden und aktivierenden Kneipp® Aroma-Pflegedusche Lebensfreude. Der frische, sonnige Duft der natürlichen ätherischen Öle der Litsea Cubeba und der Zitrone hebt Deine Stimmungslage nachweislich***. Rezeptur ohne Mikroplastik.

Die Dusche mit pflanzlicher Pflegeformel verbessert das Hautgefühl während und nach dem Duschen. Die Formel mit natürlichem pflegendem Öl schont und bewahrt das hauteigene Mikrobiom und sorgt für ein zartes und geschmeidiges Hautgefühl. Eine wissenschaftliche Studie bestätigt, dass die Hautfeuchtigkeit bei Anwendung bewahrt wird.

*** Durch wissenschaftliche Studie bestätigtInhaltsstoffeAqua (Water), Sodium Laureth Sulfate, Glycerin, Cocamidopropyl Betaine, Coco-Glucoside, PEG-40 Sorbitan Peroleate, Glyceryl Oleate, PEG-18 Glyceryl Oleate/Cocoate, Litsea Cubeba Fruit Oil, Citrus Limon Peel Oil, Cymbopogon Nardus (Citronella) Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Limonene, Citral, Geraniol, Linalool, Citronellol, Parfum (Fragrance), Glycol Distearate, Hydroxypropyl Methylcellulose, PEG-14M, Sodium Hydroxide, Silica, Tocopherol, CI 19140.HinweiseInformation: Kosmetisches Mittel. Nicht einnehmen und für Kinder unzugänglich aufbewahren.ArtikeldetailsMarke: KneippUrsprungsland: DeutschlandSorte: LebensfreudeLaufzeit nach Öffnen: 3 MonateKontaktKontaktname: Kneipp GmbHKontaktadresse: D-97064 WürzburgFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",1223624
792,"ProduktbeschreibungArtikelnummer 1227478Zutaten & AllergeneZutaten: Wasser, Fruktosesirup, Maltodextrin, Dextrose, Säuerungsmittel (Citronensäure), Aroma, Coffein.NährwerteDurchschnittliche NährwerteUnzubereitet pro 100 mlEnergie802 kJEnergie189 kcalFett0 gFett, davon gesättigte Fettsäuren0 gKohlenhydrate46,8 gKohlenhydrate, davon Zucker23,9 gEiweiß0 gSalz0,013 gHinweiseInformation: Für Kinder und schwangere oder stillende Frauen nicht empfohlen.ArtikeldetailsMarke: Dextro EnergyUrsprungsland: DeutschlandKontaktKontaktname: Dextro Energy GmbH & Co. KGKontaktadresse: Postfach 9239, D-47749 KrefeldFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",1227478
115,"ProduktbeschreibungArtikelnummer 1244453Frisch für dich aus unserer Servicetheke. Für die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",1244453
716,"ProduktbeschreibungArtikelnummer 1244454Frisch für dich aus unserer Servicetheke. Für die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",1244454
418,"ProduktbeschreibungArtikelnummer 1252234Zutaten & AllergeneZutaten: Zutaten: Fettarme MILCH, Laktase.Allergenhinweise: Milch und Milcherzeugnisse (einschließlich Lactose)NährwerteDurchschnittliche Nährwertepro 100 mlEnergie198 kJEnergie47 kcalFett1,5 gFett, davon gesättigte Fettsäuren1 gKohlenhydrate5 gKohlenhydrate, davon Zucker5 gEiweiß3,4 gSalz0,11 gCalcium120 mgHinweiseAufbewahrungshinweise: Geöffnete Packung gekühlt aufbewahren und rasch verbrauchen.ArtikeldetailsMarke: REWE frei vonEigenschaften: LaktosefreiUrsprungsland: DeutschlandKontaktKontaktname: AF Deutschland GmbHKontaktadresse: Wahlerstraße 2, 40472 Düsseldorf, DeutschlandFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",1252234
417,"ProduktbeschreibungArtikelnummer 1252238Zutaten & AllergeneZutaten: Zutaten: Vollmilch, Laktase.Allergenhinweise: Milch und Milcherzeugnisse (einschließlich Lactose)NährwerteDurchschnittliche Nährwertepro 100 mlEnergie267 kJEnergie64 kcalFett3,5 gFett, davon gesättigte Fettsäuren2,4 gKohlenhydrate4,8 gKohlenhydrate, davon Zucker4,8 gEiweiß3,3 gSalz0,13 gHinweiseAufbewahrungshinweise: Geöffnete Packung kühl aufbewahren und rasch verbrauchen.ArtikeldetailsMarke: REWE frei vonEigenschaften: LaktosefreiUrsprungsland: DeutschlandKontaktKontaktname: DMK Deutsches Milchkontor GmbHKontaktadresse: Industriestr. 27, 27404 Zeven, DeutschlandFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",1252238
458,"ProduktbeschreibungArtikelnummer 1267656Zutaten & AllergeneZutaten: Zutaten: SCHLAGSAHNE, Laktase, Stabilisator Carrageen. Zusatzstoffe: E 407Allergenhinweise: Milch und Milcherzeugnisse (einschließlich Lactose)NährwerteDurchschnittliche Nährwertepro 100 gEnergie1.207 kJEnergie293 kcalFett30 gFett, davon gesättigte Fettsäuren19,7 gKohlenhydrate3,2 gKohlenhydrate, davon Zucker3,2 gEiweiß2,5 gSalz0,1 gHinweiseAufbewahrungshinweise: - Vor dem Schlagen einige Stunden im Kühlschrank aufbewahren.- Nach dem Öffnen gekühlt lagern und innerhalb weniger Tage verbrauchen.ArtikeldetailsMarke: REWE frei vonEigenschaften: LaktosefreiUrsprungsland: DeutschlandKontaktKontaktname: Neuburger Milchwerke GmbHKontaktadresse: Nördliche Grünauer Straße 28, 86633 Neuburg, DeutschlandFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",1267656
124,"ProduktbeschreibungArtikelnummer 1267719Ursprung: Deutschland oder Österreich. Um einen Hinweis zur tatsächlichen Herkunft zu erhalten, beachten Sie bitte die Angaben auf der Ihnen gelieferten Ware selbst; nur diese sind maßgeblich wie auch verbindlich. VOR DEM VERZEHR GUT DURCHGAREN. NICHT ZUM ROHVERZEHR GEEIGNET. Die Haltbarkeit des Produktes ist bis zum angegebenen Datum durch die Einhaltung der angegebenen Temperatur gesichert. Bei einer Unterbrechung der Kühlkette über +4 °C, empfehlen wir Ihnen den Verzehr am Tag des Einkaufes. Nach Öffnen der Packung Ware noch am selben Tag verwenden. Rohes Geflügelfleisch nicht mit anderen Lebensmittel in Kontakt bringen. Tropfsaft sorgfältig entsorgen. Geschirr und Hände gründlich reinigen.... mehr anzeigenZutaten & AllergeneZutaten: /  /NährwerteDurchschnittliche Nährwertepro 100 gEnergie428 kJEnergie101 kcalFett1 gFett, davon gesättigte Fettsäuren0,3 gKohlenhydrate0 gKohlenhydrate, davon Zucker0 gBallaststoffe0 gEiweiß23 gSalz0,2 gArtikeldetailsMarke: REWE BioEigenschaften: BioFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",1267719
38,"ProduktbeschreibungArtikelnummer 1272042Deutschland; ; Ursprungsland kann je nach Angebot abweichen. ArtikeldetailsMarke: REWE BioEigenschaften: BioFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",1272042
263,"ProduktbeschreibungArtikelnummer 128102299% der brands you love Community empfehlen Swiffer Staubmagnet und Swiffer Bodenwischer weiter (418 Befragungsteilnehmer 09/2018). Die neuen, verbesserten Swiffer Staubmagnet Tücher schließen 20% mehr Staub und Haare ein als der bisherige Swiffer Staubmagnet. Erstmals besitzen die Tücher nun eine Wachsbeschichtung auf der 3D Struktur, welche den Dreck besser aufnehmen und binden kann. Unser Tipp: Erhöhung der Nutzungsdauer nach Aufschütteln des Tuch's. Verabschieden Sie sich von Staub, Schmutz und Haaren! Swiffer Staubmagnet Tücher nehmen bis zu 3x mehr Staub und Haare auf und schließen diese ein, und das ist viel gründlicher als ein herkömmlicher Staubwedel oder Staubtuch. Dank tausender flexibler, flauschiger Fasern und deren leichten Beschichtung. Die Swiffer Staubmagnet Tücher haben einzigartige Fasern, die ihre Form verändern und sich allen Ecken und Ritzen anpassen können, damit Staub und Haare von praktisch jeder Oberfläche aufgenommen werden können, ohne diese im ganzen Haus zu verteilen. Staub und Haare setzen sich gerne an Bücherregalen, Elektrogeräten, Jalousien und anderen schwer erreichbaren Stellen ab. Doch mit dem Swiffer Staubmagnet kommen Sie an schwer erreichbare Ecken und Winkel leicht heran. Auch bei Tierhaaren reinigen die flauschigen Fasern des Swiffer Staubmagnets intelligent und effizient. So werden Haare gründlich entfernt. Der Swiffer Staubmagnet kann zuhause auf allen trockenen Oberflächen verwendet werden. Er hinterlässt keine Rückstände und fängt Staub, Schmutz und Haare ganz einfach und effizient ein.... mehr anzeigenHinweiseInformation: Außer Reichweite von Kindern aufbewahren.ArtikeldetailsMarke: SwifferUrsprungsland: DeutschlandAnwendung: 1. Tuch aufschütteln und auflockern 2. Auf Griff aufstecken  3. Einfach drauflos wischen Tipp: Erhöhte Nutzungsdauer nach Aufschütteln des TuchsBesonderheiten: Neu: Schließt 20% mehr Staub, Haare und Allergene ein als der bisherige Swiffer StaubmagnetIdeal für alle trockenen Oberflächen, z.B. Bücherregale, Elektrogeräte, Autoinnenräume & HeizkörperKontaktKontaktname: Procter & Gamble GmbHKontaktadresse: Sulzbacher Str. 40, 65824 SchwalbachFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",1281022
461,"ProduktbeschreibungArtikelnummer 1290472Zutaten & AllergeneZutaten: Maismehl 50 %, Reismehl 49,5 %, Emulgator: Mono- und Diglyceride von Speisefettsäuren 0,5 %   Zusatzstoffe: E 471NährwerteDurchschnittliche Nährwertepro 100 gEnergie1.510 kJEnergie356 kcalFett2,3 gFett, davon gesättigte Fettsäuren0,8 gKohlenhydrate76 gKohlenhydrate, davon Zucker0,5 gEiweiß6,8 gSalz< 0,01 gHinweiseVerwendungshinweise: Trocken lagern. Vor Wärme schützen.ArtikeldetailsMarke: REWE frei vonEigenschaften: GlutenfreiUrsprungsland: ItalienKontaktKontaktname: ANDRIANI SPAKontaktadresse: Via Niccolo Copernico s.n. Zona PIP, Gravina in Puglia, 70024, ItalienFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",1290472
462,"ProduktbeschreibungArtikelnummer 1291820Hergestellt für: REWE Markt GmbH, D-50603 Köln Zutaten & AllergeneZutaten: Stärke (Kartoffel, Mais), Maismehl, Reismehl, Verdickungsmittel (Guarkernmehl).  Kann Spuren von Ei, Milch, Soja, Haselnüssen, Mandeln und Pistazien enthalten. Zusatzstoffe: E 412NährwerteDurchschnittliche Nährwertepro 100 gEnergie1.440 kJEnergie339 kcalFett1 gFett, davon gesättigte Fettsäuren0,2 gKohlenhydrate79,2 gKohlenhydrate, davon Zucker0,4 gEiweiß2,5 gSalz0,04 gHinweiseVerwendungshinweise: Trocken lagern. Vor Wärme schützen.ArtikeldetailsMarke: REWE frei vonEigenschaften: GlutenfreiUrsprungsland: DeutschlandKontaktKontaktname: OSNA Nährmittel GmbHKontaktadresse: Postfach 36 28, 49026 Osnabrück, DeutschlandFür die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",1291820
937,"ProduktbeschreibungArtikelnummer 1297802Hunde mit Charakter verdienen Snacks mit Charakter – voll interessanter Geschmackserlebnisse, Formen und Gerüche. Frolic Rodeo - Gedreht, gezwirbelt und total lecker. Hunde stehen drauf und haben ganz schnell den Dreh raus! Auf künstliche Farb- und Aromastoffe haben wir verzichtet, die sind ""HIER"" unerwünscht! FROLIC™ RODEO™ TWISTOS™ - Gedreht, gezwirbelt und total lecker. Hunde stehen drauf und haben ganz schnell den Dreh raus! Auf künstliche Aromastoffe haben wir verzichtet, die sind ""HIER"" unerwünscht!ZusammensetzungZusammensetzung:  pflanzliche Nebenerzeugnisse, Getreide, Fleisch und tierische Nebenerzeugnisse (u.a. 3.5% getrocknetes Rinderleberpulver, das entspricht 4% Rind), Zucker, Mineralstoffe, Öle und Fette, pflanzliche Eiweißextrakte.Analytische Bestandteile: Protein: 23.0; Fettgehalt: 5.0; anorganischer Stoff: 5.0; Rohfaser: 2.0; Feuchtigkeit: 15.0; Calcium: 0.60; Brennwert: 320 kcal/100 g.Zusatzstoffe pro kg: keineFütterungsempfehlungKleine Hunde (5-9 kg) bis zu 4 Stück wöchentlich. Mittelgroße Hunde (10-24 kg) bis zu 6 Stück wöchentlich. Große Hunde (25 kg+) bis zu 13 Stück wöchentlich. Reduzieren Sie die Vollnahrung entsprechend. Dieser Snack ist nur geeignet für Hunde ab 5 kg. Er ist nicht geeignet für junge Hunde unter 4 Monaten. Ein Extranapf mit frischem Trinkwasser sollte immer bereitstehen.HinweiseAufbewahrungs- und Verwendungshinweis: Bitte kühl und trocken lagern.Information: Verpackung für Kinder und Tiere unzugänglich aufbewahren (Erstickungsgefahr).ArtikeldetailsMarkeFrolicUrsprungslandUngarnGeschmacksrichtungRindTierartHundAltersstufe des HaustieresAdultFutterartErgänzungsfutterKontaktKontakt: 04231-943250, kontakt@de.mars.comZulassungsnummer: HU05100034Kontaktname: Mars GmbHKontaktadresse: Postfach 1280, 27281 Verden (Aller)Für die vorstehenden Angaben wird keine Haftung übernommen. Bitte prüfen Sie im Einzelfall die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich.Das Produktdesign kann von der Abbildung abweichen.",1297802
